Elevation (metres);Meter från start;Lutning i grader
13,5;11632;0,000
13,5;11647;0,000
13,5;11653;0,000
13,5;11673;0,000
13,6;11689;0,358
13,8;11712;0,498
14;11752;0,286
14;11771;0,000
14;11795;0,000
14,9;11855;0,859
16,2;11914;1,262
17;11971;0,804
17,7;12028;0,704
18,7;12081;1,081
19,4;12123;0,955
20;12173;0,688
20,7;12246;0,549
21,2;12310;0,448
21,7;12373;0,455
21,9;12423;0,229
22,5;12474;0,674
24;12549;1,146
26,1;12625;1,583
29;12715;1,846
29,4;12806;0,252
28,6;12892;-0,533
27,5;12979;-0,724
22,5;13065;-3,327
19,1;13145;-2,434
17,1;13225;-1,432
16,7;13306;-0,283
15,6;13364;-1,087
14,7;13423;-0,874
14;13486;-0,637
14,3;13548;0,277
15,1;13599;0,899
15,5;13650;0,449
15,4;13720;-0,082
13,9;13789;-1,245
13,2;13878;-0,451
13,5;13967;0,193
13,1;14055;-0,260
13,3;14144;0,129
13,6;14178;0,506
13,8;14267;0,129
13,9;14293;0,220
14,3;14345;0,441
14,4;14353;0,716
14,6;14371;0,637
14,6;14379;0,000
14,8;14452;0,157
14,1;14524;-0,557
15;14597;0,706
16,5;14654;1,507
17,4;14712;0,889
18;14762;0,688
18,6;14812;0,688
18,5;14881;-0,083
18;14945;-0,448
18;14982;0,000
17,6;15047;-0,353
17;15100;-0,649
16,3;15156;-0,716
16,1;15211;-0,208
16;15245;-0,169
15,8;15276;-0,370
16;15376;0,115
16,2;15475;0,116
17,3;15574;0,637
18,4;15664;0,700
18,7;15708;0,391
19,6;15776;0,758
21;15842;1,215
21,9;15877;1,473
23,1;15908;2,217
25;15956;2,267
27,4;16020;2,148
28,1;16070;0,802
28;16112;-0,136
28,5;16151;0,735
29,8;16218;1,112
31,1;16310;0,810
32,4;16388;0,955
33,6;16428;1,718
36;16494;2,083
37,5;16545;1,685
38,5;16595;1,146
38,6;16669;0,077
37,5;16743;-0,852
36,7;16792;-0,935
36,7;16865;0,000
36,1;16893;-1,228
35;16962;-0,913
34,2;17019;-0,804
33,3;17082;-0,818
31,8;17140;-1,481
30,1;17185;-2,163
27,9;17239;-2,333
26,1;17329;-1,146
26;17361;-0,179
26,4;17428;0,342
26,4;17494;0,000
26,5;17561;0,086
27;17618;0,503
27,5;17644;1,102
28,1;17673;1,185
28,6;17697;1,193
31;17771;1,858
32,3;17837;1,128
33;17934;0,413
32;17992;-0,988
30,6;18056;-1,253
30,3;18120;-0,269
30,2;18212;-0,062
31,5;18304;0,810
31,9;18339;0,655
32,3;18392;0,432
32,8;18457;0,441
33;18523;0,174
33;18567;0,000
32,9;18617;-0,115
33,3;18687;0,327
33,7;18735;0,477
33,9;18749;0,818
35;18816;0,941
35,2;18854;0,302
35,3;18907;0,108
35,3;18936;0,000
35,9;18989;0,649
36,7;19048;0,777
37,3;19139;0,378
37,4;19231;0,062
37;19322;-0,252
37,5;19369;0,610
38;19397;1,023
39,7;19464;1,453
40,2;19477;2,203
40,1;19530;-0,108
40;19594;-0,090
41,8;19642;2,148
43,4;19725;1,104
42,1;19795;-1,064
41,4;19855;-0,668
41,3;19876;-0,273
42,3;19918;1,364
43,8;19978;1,432
44;20047;0,166
45,1;20103;1,125
45,7;20153;0,688
46,6;20203;1,031
45,7;20282;-0,653
45,5;20330;-0,239
45,6;20338;0,716
46,3;20387;0,818
46,5;20446;0,194
45,9;20516;-0,491
43,6;20614;-1,344
42,1;20683;-1,245
39,9;20752;-1,826
37,2;20821;-2,241
35,4;20884;-1,637
33,8;20947;-1,455
33,3;21008;-0,470
32,7;21068;-0,573
31,6;21122;-1,167
31;21175;-0,649
31,5;21271;0,298
32,8;21366;0,784
35,8;21461;1,809
36;21503;0,273
35,3;21538;-1,146
33,3;21599;-1,878
31,5;21659;-1,718
30,5;21695;-1,591
29,5;21732;-1,548
28,7;21756;-1,909
28,2;21780;-1,193
27,6;21805;-1,375
27,2;21828;-0,996
27;21853;-0,458
26,6;21877;-0,955
26,2;21901;-0,955
25,9;21924;-0,747
25,8;21937;-0,441
26;21974;0,310
26,5;22010;0,796
27,1;22046;0,955
28,6;22094;1,790
30,4;22128;3,030
31,2;22142;3,270
32,6;22167;3,205
34;22190;3,483
34,7;22202;3,338
35,5;22226;1,909
36,3;22250;1,909
37;22274;1,671
37,2;22299;0,458
37,2;22322;0,000
37,1;22359;-0,155
37,8;22407;0,836
39,4;22466;1,553
40,7;22513;1,584
41,1;22550;0,619
41,3;22586;0,318
41,4;22602;0,358
41,4;22611;0,000
41,7;22640;0,593
41,8;22648;0,716
42,1;22696;0,358
42,3;22720;0,477
42,7;22755;0,655
42,8;22768;0,441
42,4;22805;-0,619
42,2;22830;-0,458
42;22840;-1,146
42,9;22914;0,697
42,7;22962;-0,239
42,5;22987;-0,458
42,8;23046;0,291
43,3;23104;0,494
43,7;23138;0,674
44;23173;0,491
44,2;23210;0,310
44,5;23258;0,358
44,3;23319;-0,188
43,9;23341;-1,042
43,1;23391;-0,917
43,2;23441;0,115
44,4;23526;0,809
44,5;23536;0,573
45,1;23621;0,404
45,6;23653;0,895
45,8;23662;1,273
45,9;23676;0,409
45,6;23693;-1,011
45,3;23723;-0,573
45,5;23800;0,149
46,2;23876;0,528
46,1;23952;-0,075
45,7;24026;-0,310
45,2;24098;-0,398
45,7;24171;0,392
46,1;24226;0,417
45,2;24320;-0,549
42,9;24414;-1,402
41;24508;-1,158
40;24560;-1,102
39,1;24611;-1,011
39,5;24684;0,314
39,8;24757;0,235
39;24829;-0,637
39;24863;0,000
38,9;24881;-0,318
39;24923;0,136
39;24928;0,000
38,9;24970;-0,136
38;25056;-0,600
36;25150;-1,219
34;25224;-1,548
30,6;25295;-2,742
26,6;25391;-2,386
25,4;25476;-0,809
24,9;25572;-0,298
23,6;25620;-1,551
22,2;25681;-1,315
20,6;25727;-1,992
19,6;25759;-1,790
19,7;25803;0,130
19,7;25831;0,000
19,7;25838;0,000
20,3;25908;0,491
21,5;25958;1,375
22,7;26036;0,881
24;26077;1,816
25,2;26107;2,291
27,6;26151;3,122
33,3;26245;3,470
33,4;26246;5,711
35,5;26343;1,240
36,6;26430;0,724
37,8;26495;1,058
38,9;26560;0,970
39,7;26624;0,716
40,1;26693;0,332
40,6;26733;0,716
40,2;26809;-0,302
41;26895;0,533
40,6;26981;-0,266
41,2;27067;0,400
42,7;27153;0,999
44,6;27239;1,266
45;27325;0,266
44,4;27399;-0,465
44,2;27472;-0,157
44,8;27546;0,465
45,5;27644;0,409
45,5;27742;0,000
45,9;27787;0,509
46;27832;0,127
46,3;27877;0,382
46,5;27964;0,132
46,2;28052;-0,195
46,1;28087;-0,164
46,6;28144;0,503
46,5;28196;-0,110
46,3;28248;-0,220
46,2;28270;-0,260
46,2;28297;0,000
46,4;28306;1,273
46,9;28324;1,591
47,8;28353;1,778
47,9;28355;2,862
48,8;28449;0,549
49,4;28505;0,614
50;28561;0,614
50,5;28625;0,448
50,4;28689;-0,090
50;28754;-0,353
50,6;28829;0,458
50,3;28919;-0,191
50,2;29010;-0,063
50,3;29101;0,063
50,1;29193;-0,125
50;29284;-0,063
49;29376;-0,623
47,9;29443;-0,941
47,5;29511;-0,337
46,7;29608;-0,473
47,2;29705;0,295
47;29773;-0,169
46,7;29842;-0,249
46;29910;-0,590
46,2;29984;0,155
47,7;30057;1,177
50,9;30138;2,262
50,4;30219;-0,354
49;30300;-0,990
48,9;30386;-0,067
49,8;30472;0,600
49,9;30557;0,067
48,9;30643;-0,666
48,2;30726;-0,483
47,9;30810;-0,205
47,6;30871;-0,282
46,5;30932;-1,033
46,6;30951;0,302
47,2;31034;0,414
47;31116;-0,140
47,6;31188;0,477
47,2;31259;-0,323
46,8;31331;-0,318
47,1;31426;0,181
46,5;31522;-0,358
46,6;31617;0,060
45,9;31713;-0,418
45,4;31808;-0,302
43,8;31903;-0,965
43,2;31981;-0,441
43;32059;-0,147
43;32070;0,000
43,1;32072;2,862
43;32131;-0,097
43;32191;0,000
43,2;32285;0,122
43,3;32366;0,071
42,5;32447;-0,566
43,5;32529;0,699
44;32569;0,716
42,6;32661;-0,872
42,1;32737;-0,377
42,9;32814;0,595
42,9;32890;0,000
42,7;32966;-0,151
43;33011;0,382
43,2;33103;0,125
42,6;33199;-0,358
42,6;33254;0,000
42,1;33310;-0,512
42,4;33397;0,198
40,8;33484;-1,054
40,4;33517;-0,694
40,2;33563;-0,249
40,4;33610;0,244
40,3;33680;-0,082
39,9;33736;-0,409
39,9;33740;0,000
39;33802;-0,832
37;33892;-1,273
36,8;33902;-1,146
36,4;33921;-1,206
35,4;33994;-0,785
34,3;34066;-0,875
33,4;34138;-0,716
32;34236;-0,818
30,9;34334;-0,643
30,9;34432;0,000
31;34505;0,078
31,3;34577;0,239
31,7;34610;0,694
32,5;34665;0,833
33,2;34720;0,729
33,6;34752;0,716
34,2;34809;0,603
34,6;34858;0,468
33,9;34950;-0,436
34;35042;0,062
34,6;35135;0,370
34,8;35212;0,149
33,4;35290;-1,028
31,4;35368;-1,469
29,4;35445;-1,488
27,9;35540;-0,905
26,7;35634;-0,731
26,2;35728;-0,305
26,8;35823;0,362
27;35907;0,136
27,9;35991;0,614
28;36061;0,082
28,7;36131;0,573
29,6;36201;0,737
30;36278;0,298
31,4;36355;1,042
31,3;36438;-0,069
30,1;36520;-0,838
29,9;36615;-0,121
30,5;36711;0,358
29,1;36793;-0,978
27;36874;-1,485
25,3;36956;-1,188
24,8;37037;-0,354
24,2;37118;-0,424
23,2;37198;-0,716
22,1;37277;-0,798
21;37360;-0,759
20,8;37448;-0,130
21,7;37536;0,586
21;37623;-0,461
20,4;37711;-0,391
20,4;37799;0,000
20,9;37887;0,326
20;37975;-0,586
17,8;38068;-1,355
17,8;38152;0,000
17,6;38237;-0,135
17,1;38321;-0,341
17,1;38405;0,000
16,3;38489;-0,546
15,8;38573;-0,341
16,7;38655;0,629
16,2;38737;-0,349
16,2;38818;0,000
17,9;38900;1,188
18,2;38981;0,212
18,3;39063;0,070
19,4;39144;0,778
19,9;39226;0,349
19,9;39234;0,000
19,9;39244;0,000
19,8;39270;-0,220
19,8;39353;0,000
21,7;39436;1,311
21,8;39464;0,205
22;39535;0,161
22,8;39579;1,042
23,3;39621;0,682
23,6;39661;0,430
23,7;39689;0,205
24;39746;0,302
24,7;39799;0,757
25;39826;0,637
24,7;39916;-0,191
24;40006;-0,446
24,3;40082;0,226
25;40158;0,528
25,4;40243;0,270
25,8;40272;0,790
26,4;40319;0,731
26,9;40357;0,754
27,6;40425;0,590
27,1;40496;-0,403
26,8;40564;-0,253
26,8;40595;0,000
26,3;40690;-0,302
26,3;40715;0,000
27;40767;0,771
28,6;40812;2,036
29,9;40893;0,919
30;40973;0,072
31,1;41069;0,656
32,7;41155;1,066
32,8;41158;1,909
34,3;41211;1,621
35,5;41264;1,297
35,9;41302;0,603
35,8;41382;-0,072
36,7;41457;0,688
36,7;41476;0,000
36,9;41508;0,358
37,9;41604;0,597
37,6;41615;-1,562
37;41644;-1,185
36,6;41659;-1,528
36,4;41751;-0,125
36,1;41843;-0,187
36,7;41904;0,564
36,9;41966;0,185
35,4;42031;-1,322
35;42095;-0,358
36,3;42164;1,079
36,5;42232;0,169
37,2;42296;0,627
36,9;42359;-0,273
36,6;42393;-0,506
35,6;42491;-0,585
35,6;42561;0,000
36;42612;0,449
35,6;42663;-0,449
35,5;42725;-0,092
35,3;42786;-0,188
35;42838;-0,331
34,1;42890;-0,992
34;42969;-0,073
34,4;43023;0,424
34,8;43078;0,417
35,2;43152;0,310
35,2;43248;0,000
35,8;43344;0,358
35,5;43440;-0,179
37,8;43536;1,372
38,3;43632;0,298
39,4;43728;0,656
40,4;43823;0,603
40,1;43919;-0,179
41,2;44015;0,656
42,6;44110;0,844
43,5;44204;0,549
43,9;44237;0,694
45,9;44310;1,569
46;44386;0,075
47,8;44461;1,375
48,6;44536;0,611
49,7;44611;0,840
50;44666;0,313
49,9;44720;-0,106
50,3;44780;0,382
49,8;44840;-0,477
50,8;44937;0,591
51,4;44992;0,625
51,4;45047;0,000
51,2;45115;-0,169
51,2;45172;0,000
51,2;45173;0,000
52,5;45227;1,379
52,8;45282;0,313
52,3;45361;-0,363
51,8;45425;-0,448
51,7;45489;-0,090
52,5;45580;0,504
51,7;45671;-0,504
51;45726;-0,729
51,1;45794;0,084
51,6;45862;0,421
51,8;45915;0,216
51,6;45968;-0,216
51,5;45997;-0,198
51,5;46005;0,000
50,9;46060;-0,625
51;46113;0,108
51,9;46167;0,955
51,9;46172;0,000
53;46251;0,798
53,1;46330;0,073
54,1;46410;0,716
55,6;46510;0,859
55,7;46609;0,058
57;46709;0,745
57;46809;0,000
57;46848;0,000
57,7;46921;0,549
57,4;46976;-0,313
56,5;47031;-0,937
55,9;47058;-1,273
55,2;47092;-1,179
54,7;47119;-1,061
54,1;47170;-0,674
54;47225;-0,104
53,8;47296;-0,161
53,4;47366;-0,327
53,1;47436;-0,246
54;47529;0,554
54,9;47622;0,554
55;47681;0,097
55,1;47741;0,095
55,8;47840;0,405
55,7;47939;-0,058
56,1;48026;0,263
56,7;48113;0,395
56,9;48125;0,955
57;48141;0,358
57;48156;0,000
57,3;48200;0,391
57,6;48271;0,242
58,1;48312;0,699
59;48388;0,678
59,5;48464;0,377
60,2;48539;0,535
60,4;48639;0,115
60,1;48739;-0,172
60,5;48839;0,229
60,3;48939;-0,115
60,1;49039;-0,115
60,1;49045;0,000
59,4;49101;-0,716
58,4;49198;-0,591
58,1;49242;-0,391
57,8;49301;-0,291
57,7;49323;-0,260
56,9;49418;-0,482
56,6;49512;-0,183
56,8;49599;0,132
56,3;49653;-0,531
55,7;49706;-0,649
55,5;49783;-0,149
55,9;49860;0,298
56;49920;0,095
55,5;49985;-0,441
55,6;50074;0,064
56,4;50121;0,975
56,1;50220;-0,174
57,6;50319;0,868
58,4;50379;0,764
58,6;50439;0,191
57,8;50522;-0,552
57,7;50604;-0,070
58,7;50687;0,690
58,8;50770;0,069
58,6;50856;-0,133
56,9;50939;-1,173
55,6;51000;-1,221
55,4;51062;-0,185
56;51125;0,546
57,1;51189;0,985
58;51253;0,806
57,1;51322;-0,747
56;51391;-0,913
56;51477;0,000
56,7;51565;0,456
56,5;51652;-0,132
55,2;51739;-0,856
54,6;51809;-0,491
54,9;51875;0,260
55,1;51936;0,188
55,2;51997;0,094
54,5;52094;-0,413
53,1;52192;-0,818
52;52289;-0,650
51;52387;-0,585
49,9;52484;-0,650
47,4;52563;-1,813
45,5;52642;-1,378
44,4;52721;-0,798
44;52747;-0,881
44,1;52786;0,147
44,2;52818;0,179
44,2;52836;0,000
44,3;52876;0,143
44,4;52913;0,155
45;52986;0,471
45;53042;0,000
44,4;53105;-0,546
43,7;53166;-0,657
43,3;53212;-0,498
44,1;53268;0,818
44,9;53315;0,975
45,5;53352;0,929
45,8;53416;0,269
45,7;53487;-0,081
45,9;53521;0,337
46,8;53572;1,011
47,7;53606;1,516
49,6;53644;2,862
51,1;53678;2,526
51,9;53705;1,697
52,7;53771;0,694
52,9;53789;0,637
53,9;53832;1,332
55;53879;1,341
55,6;53932;0,649
55,6;53934;0,000
56,4;53997;0,728
57;54061;0,537
57;54111;0,000
57,1;54128;0,337
57,7;54181;0,649
57,9;54193;0,955
59,1;54284;0,756
59,4;54375;0,189
59,2;54466;-0,126
58,8;54556;-0,255
59,6;54650;0,488
59,8;54744;0,122
59,5;54838;-0,183
60;54932;0,305
60,2;55026;0,122
60,9;55080;0,743
60,5;55133;-0,432
60,6;55213;0,072
61,4;55298;0,539
61,4;55300;0,000
61,5;55390;0,064
61,8;55474;0,205
62,3;55558;0,341
62,8;55642;0,341
63,5;55726;0,477
62,7;55823;-0,473
61,2;55921;-0,877
61;56019;-0,117
62;56117;0,585
62;56196;0,000
62;56275;0,000
61,4;56354;-0,435
60,8;56447;-0,370
60,5;56499;-0,331
60,6;56586;0,066
61,2;56674;0,391
