Elevation (metres);Meter från start;Lutning i grader
335,2;909511;-0,088
335,5;909540;0,593
334,8;909631;-0,441
332,6;909722;-1,385
331,4;909786;-1,074
330,4;909851;-0,881
328,9;909904;-1,621
326,9;909958;-2,121
326,9;910011;0,000
327,1;910064;0,216
327;910122;-0,099
327,1;910180;0,099
326,8;910250;-0,246
324,9;910346;-1,134
323,3;910442;-0,955
321,8;910538;-0,895
319,9;910635;-1,122
317,3;910727;-1,619
316,3;910792;-0,881
314,7;910854;-1,478
314,5;910927;-0,157
314;910999;-0,398
313,7;911069;-0,246
313,4;911137;-0,253
312,1;911207;-1,064
311,4;911275;-0,590
310,3;911344;-0,913
309,1;911439;-0,724
307,8;911533;-0,792
307;911600;-0,684
307;911670;0,000
306,4;911741;-0,484
304,7;911812;-1,372
304,2;911823;-2,603
303,2;911849;-2,203
303,1;911884;-0,164
302,6;911950;-0,434
300,8;912021;-1,452
299,2;912091;-1,309
299,8;912161;0,491
300,7;912231;0,737
300;912302;-0,565
300,2;912395;0,123
301,9;912488;1,047
301;912581;-0,554
299,3;912674;-1,047
297,1;912767;-1,355
294,3;912861;-1,706
293;912954;-0,801
293,6;913047;0,370
295;913140;0,862
297,6;913233;1,601
297;913326;-0,370
299,3;913419;1,417
300,8;913512;0,924
300,1;913606;-0,427
300;913679;-0,078
299,6;913753;-0,310
299,3;913825;-0,239
300,1;913897;0,637
301,2;913971;0,852
301,6;914051;0,286
300,4;914143;-0,747
300,2;914236;-0,123
301,4;914328;0,747
302,7;914421;0,801
299,6;914513;-1,930
300,2;914606;0,370
302,4;914698;1,370
302;914790;-0,249
302,5;914883;0,308
301,7;914975;-0,498
300,8;915046;-0,726
300,8;915117;0,000
300,8;915185;0,000
299;915256;-1,452
297,2;915325;-1,494
296,9;915394;-0,249
296,4;915459;-0,441
296,8;915556;0,236
296,9;915654;0,058
298,2;915751;0,768
298,6;915848;0,236
297,4;915945;-0,709
295,9;916042;-0,886
295,7;916139;-0,118
295,6;916193;-0,106
295,5;916231;-0,151
296,5;916317;0,666
296,7;916397;0,143
296,3;916478;-0,283
296,7;916559;0,283
296,4;916649;-0,191
295,6;916739;-0,509
294,9;916829;-0,446
294,1;916919;-0,509
293,1;917009;-0,637
293;917099;-0,064
294,1;917189;0,700
294,7;917242;0,649
295,3;917279;0,929
295,1;917303;-0,477
295,1;917387;0,000
295,5;917441;0,424
296;917495;0,531
295,6;917589;-0,244
294,7;917683;-0,549
296,9;917776;1,355
297,1;917870;0,122
296,1;917964;-0,610
297;918057;0,554
298;918151;0,610
299,3;918244;0,801
300,5;918338;0,731
301,2;918432;0,427
303,6;918525;1,478
303,1;918619;-0,305
303,6;918701;0,349
305;918783;0,978
304,8;918865;-0,140
304;918964;-0,463
304,5;919063;0,289
307,8;919163;1,890
306,4;919262;-0,810
307,7;919362;0,745
308,2;919461;0,289
307;919560;-0,694
305,5;919660;-0,859
305,6;919759;0,058
304,6;919859;-0,573
306,7;919958;1,215
309,9;920047;2,059
310,1;920056;1,273
309,4;920152;-0,418
308,5;920246;-0,549
309,5;920340;0,610
308,8;920434;-0,427
309,2;920528;0,244
308,3;920622;-0,549
307,3;920694;-0,796
308,8;920791;0,886
309,7;920888;0,532
310,4;920985;0,413
311;921082;0,354
311,6;921179;0,354
311,5;921276;-0,059
309,1;921372;-1,432
309,2;921469;0,059
314,4;921566;3,069
314;921663;-0,236
314,2;921760;0,118
313,9;921857;-0,177
315;921954;0,650
317,5;922051;1,476
317,8;922148;0,177
315,1;922245;-1,594
315;922251;-0,955
315;922341;0,000
315,7;922430;0,451
316,9;922519;0,772
316,7;922608;-0,129
317,1;922697;0,258
316,5;922787;-0,382
315,5;922876;-0,644
316,7;922965;0,772
318;923035;1,064
319,5;923106;1,210
319,7;923173;0,171
319,1;923242;-0,498
319,7;923307;0,529
321,1;923374;1,197
323,4;923461;1,514
325,8;923549;1,562
324,4;923634;-0,944
327,8;923706;2,704
332,3;923774;3,786
334;923839;1,498
335,8;923906;1,539
335,9;923975;0,083
336,4;924046;0,403
338;924114;1,348
344,2;924182;5,210
344,1;924268;-0,067
340,3;924355;-2,501
337,1;924442;-2,106
335,9;924507;-1,058
334,1;924572;-1,586
333,6;924659;-0,329
332,1;924748;-0,966
331;924816;-0,927
330,4;924884;-0,506
330,7;924948;0,269
332,1;925012;1,253
329,1;925092;-2,148
330;925176;0,614
331,8;925250;1,393
330;925325;-1,375
329,1;925384;-0,874
327,8;925443;-1,262
325,9;925502;-1,844
323,4;925561;-2,426
323,1;925654;-0,185
325,7;925739;1,752
328,2;925828;1,609
328,1;925833;-1,146
326,7;925921;-0,911
322,9;926011;-2,418
319,8;926098;-2,041
319,5;926191;-0,185
319,3;926286;-0,121
318,6;926378;-0,436
319,1;926472;0,305
320,4;926566;0,792
322,6;926658;1,370
324,5;926750;1,183
322,6;926843;-1,170
320,3;926933;-1,464
320,4;927003;0,082
320,4;927022;0,000
320,8;927110;0,260
321,9;927206;0,656
320,3;927302;-0,955
318,8;927398;-0,895
318,1;927494;-0,418
315,1;927590;-1,790
314,7;927686;-0,239
312,4;927782;-1,372
310,1;927853;-1,855
310,8;927925;0,557
309,9;927996;-0,726
308,8;928058;-1,016
306,9;928120;-1,755
303,3;928220;-2,062
303,3;928310;0,000
304;928399;0,451
304,6;928489;0,382
303,6;928579;-0,637
303,9;928668;0,193
305,1;928758;0,764
305,4;928848;0,191
304,2;928937;-0,772
305,4;929032;0,724
305,9;929083;0,562
305,6;929134;-0,337
304,2;929230;-0,836
304,9;929301;0,565
304,8;929336;-0,164
303,1;929428;-1,059
300,2;929520;-1,805
297,3;929577;-2,913
298,5;929634;1,206
300,6;929700;1,822
301,7;929767;0,941
301,9;929828;0,188
301,7;929890;-0,185
301,1;929955;-0,529
300,3;930021;-0,694
300;930118;-0,177
299,4;930215;-0,354
301,8;930313;1,403
301,5;930410;-0,177
300;930507;-0,886
299,3;930603;-0,418
299,7;930700;0,236
300,3;930797;0,354
299;930894;-0,768
300;930990;0,597
300;931087;0,000
300;931184;0,000
299,4;931281;-0,354
299,1;931377;-0,179
299,6;931474;0,295
299,1;931571;-0,295
299,1;931668;0,000
299,8;931764;0,418
299,9;931861;0,059
300,9;931958;0,591
300,8;932055;-0,059
300;932151;-0,477
300,1;932248;0,059
301,1;932345;0,591
301;932442;-0,059
301,4;932536;0,244
302,4;932631;0,603
301,7;932726;-0,422
301,2;932821;-0,302
302,5;932916;0,784
303,6;933010;0,670
303,5;933105;-0,060
302,8;933200;-0,422
301,7;933295;-0,663
302,5;933390;0,482
303,9;933485;0,844
304,2;933579;0,183
305,1;933674;0,543
305,9;933769;0,482
307,8;933864;1,146
302,3;933959;-3,313
304,4;934053;1,280
305;934152;0,347
304,9;934250;-0,058
303,2;934348;-0,994
304,3;934447;0,637
306,8;934530;1,725
308,8;934614;1,364
309,5;934698;0,477
310,8;934782;0,887
312,3;934865;1,035
312,7;934950;0,270
314,7;935034;1,364
316,8;935114;1,504
317,8;935195;0,707
318,7;935291;0,537
319,5;935353;0,739
320,9;935409;1,432
321,3;935438;0,790
321,9;935487;0,702
322,1;935546;0,194
323,4;935606;1,241
324,4;935691;0,674
322,2;935777;-1,465
322,1;935862;-0,067
322,3;935952;0,127
322,5;936043;0,126
321,3;936133;-0,764
318,7;936224;-1,637
318,3;936314;-0,255
318,5;936405;0,126
317,8;936494;-0,451
317;936583;-0,515
317;936672;0,000
316,8;936761;-0,129
315,6;936859;-0,702
314,1;936958;-0,868
313,9;937057;-0,116
312,5;937141;-0,955
311,3;937226;-0,809
310,8;937310;-0,341
310,5;937407;-0,177
309,2;937505;-0,760
308,2;937602;-0,591
307,8;937653;-0,449
307,4;937704;-0,449
307,4;937712;0,000
307,9;937805;0,308
309;937872;0,941
308;937939;-0,855
306,6;937991;-1,542
305,7;938042;-1,011
305,9;938127;0,135
309,5;938212;2,425
311;938274;1,386
310;938335;-0,939
310,4;938396;0,376
310,4;938456;0,000
310,5;938512;0,102
310,6;938568;0,102
310,3;938606;-0,452
310,1;938639;-0,347
310,3;938651;0,955
310,6;938679;0,614
310,6;938689;0,000
311,5;938722;1,562
312,9;938749;2,968
313,6;938763;2,862
314,3;938819;0,716
313,1;938876;-1,206
310,9;938967;-1,385
310,9;939059;0,000
310,5;939142;-0,276
308,9;939226;-1,091
307,7;939320;-0,731
308,6;939414;0,549
309,9;939508;0,792
308,9;939593;-0,674
307,6;939678;-0,876
309,7;939751;1,648
309;939825;-0,542
309;939898;0,000
309,5;939993;0,302
309,8;940088;0,181
310,8;940183;0,603
310,7;940226;-0,133
309,9;940300;-0,619
308,1;940374;-1,393
307,6;940449;-0,382
309,6;940543;1,219
310,2;940571;1,228
310,6;940647;0,302
310,3;940724;-0,223
311,6;940800;0,980
313;940882;0,978
313,2;940965;0,138
315,7;941058;1,540
316,9;941151;0,739
315,5;941219;-1,179
314,4;941288;-0,913
315,2;941356;0,674
314,7;941452;-0,298
316,8;941548;1,253
317;941620;0,159
316,4;941692;-0,477
316,8;941769;0,298
318;941845;0,905
317,9;941914;-0,083
319,2;941982;1,095
321,3;942067;1,415
320,7;942151;-0,409
321,7;942236;0,674
321,3;942320;-0,273
324,8;942404;2,386
326;942488;0,818
326;942574;0,000
326,1;942625;0,112
326,6;942675;0,573
327;942732;0,402
327,8;942755;1,992
330,7;942819;2,594
330,1;942880;-0,564
330,1;942940;0,000
329,9;943001;-0,188
329,8;943061;-0,095
329,3;943127;-0,434
328,7;943194;-0,513
328,9;943259;0,176
328;943325;-0,781
325,9;943385;-2,005
325;943446;-0,845
326,2;943513;1,026
326,1;943581;-0,084
324,4;943650;-1,411
323,1;943719;-1,079
322,9;943776;-0,201
323,4;943833;0,503
324,1;943906;0,549
323,8;943977;-0,242
322,3;944030;-1,621
321,4;944062;-1,611
320,3;944095;-1,909
318,8;944169;-1,161
319,7;944237;0,758
318,8;944306;-0,747
318,1;944341;-1,146
317;944403;-1,016
316,4;944445;-0,818
316,2;944460;-0,764
314,9;944521;-1,221
315,3;944583;0,370
315,7;944627;0,521
315,4;944633;-2,862
312,8;944705;-2,068
310,9;944777;-1,512
310;944857;-0,645
309,6;944937;-0,286
308,5;945017;-0,788
311;945103;1,665
310,6;945188;-0,270
309,4;945274;-0,799
306,8;945355;-1,838
304,7;945436;-1,485
304,1;945517;-0,424
303,2;945598;-0,637
303;945686;-0,130
304,1;945774;0,716
305,1;945864;0,637
302,8;945954;-1,464
301,6;946020;-1,042
301,2;946087;-0,342
301,9;946154;0,599
301,9;946170;0,000
302;946206;0,159
301,9;946231;-0,229
301,2;946258;-1,485
299,9;946319;-1,221
300;946381;0,092
298,3;946470;-1,094
300,6;946558;1,497
302,1;946649;0,944
302,6;946739;0,318
302,5;946829;-0,064
300,5;946914;-1,348
301,2;946999;0,472
304,5;947095;1,969
305,5;947192;0,591
304,7;947277;-0,539
304;947362;-0,472
303,9;947447;-0,067
300,9;947536;-1,931
299,7;947624;-0,781
301,3;947713;1,030
301,4;947806;0,062
301,5;947899;0,062
300,3;947989;-0,764
300,6;948080;0,189
301,4;948159;0,580
301,8;948238;0,290
301,9;948331;0,062
302;948409;0,073
301;948488;-0,725
299,4;948572;-1,091
299;948656;-0,273
299;948728;0,000
299,6;948800;0,477
300,2;948886;0,400
298,8;948972;-0,933
299,4;949057;0,404
300;949142;0,404
300,3;949201;0,291
299,4;949297;-0,537
299,3;949391;-0,061
300;949485;0,427
300,8;949573;0,521
301;949661;0,130
301,6;949749;0,391
301,9;949804;0,313
301,8;949858;-0,106
301,2;949896;-0,905
300,7;949920;-1,193
300,1;949942;-1,562
299,1;949981;-1,469
298,6;950013;-0,895
298,3;950087;-0,232
298,7;950160;0,314
298,1;950234;-0,465
298,2;950250;0,358
298,2;950268;0,000
298,5;950326;0,296
299;950407;0,354
298,5;950489;-0,349
298;950547;-0,494
298,4;950646;0,231
298,9;950745;0,289
298,3;950844;-0,347
299,4;950943;0,637
299,9;951042;0,289
298,7;951142;-0,688
297,9;951241;-0,463
297,5;951315;-0,310
298,2;951390;0,535
298,8;951465;0,458
297,9;951550;-0,607
298;951634;0,068
298,5;951719;0,337
299,8;951803;0,887
300,6;951888;0,539
300,1;951978;-0,318
298,9;952068;-0,764
299,9;952159;0,630
301,2;952240;0,919
301,9;952322;0,489
301,3;952403;-0,424
301,2;952485;-0,070
301;952582;-0,118
301,4;952671;0,258
301,5;952725;0,106
301,4;952778;-0,108
300,5;952845;-0,770
301,7;952941;0,716
300,5;953037;-0,716
300;953133;-0,298
301,2;953229;0,716
301,2;953325;0,000
300,1;953420;-0,663
300;953516;-0,060
300,8;953612;0,477
301,3;953708;0,298
302,3;953804;0,597
302;953900;-0,179
302;953999;0,000
301,9;954098;-0,058
301,5;954197;-0,231
301,6;954297;0,057
301,9;954396;0,174
302,1;954495;0,116
304;954594;1,099
305;954693;0,579
306,2;954793;0,688
304,6;954892;-0,926
303,4;954991;-0,694
306,3;955090;1,678
306,5;955189;0,116
306,7;955289;0,115
308;955388;0,752
308,9;955487;0,521
308,6;955586;-0,174
308,1;955685;-0,289
308,1;955785;0,000
311;955884;1,678
310,9;955983;-0,058
310,1;956082;-0,463
310,1;956181;0,000
310,9;956281;0,458
311,8;956380;0,521
311,2;956479;-0,347
310,4;956571;-0,498
310,6;956662;0,126
309,9;956754;-0,436
309,8;956845;-0,063
310,3;956937;0,311
311,4;957029;0,685
312,7;957120;0,818
312,7;957212;0,000
311,3;957304;-0,872
311,1;957318;-0,818
311,9;957416;0,468
313;957515;0,637
313,2;957613;0,117
314;957711;0,468
314,5;957809;0,292
317;957908;1,447
318,8;958006;1,052
319,3;958104;0,292
317,7;958202;-0,935
317;958300;-0,409
316,7;958399;-0,174
315,4;958497;-0,760
315,4;958595;0,000
316;958693;0,351
316;958791;0,000
315,8;958890;-0,116
315,5;958988;-0,175
316,7;959086;0,702
317;959184;0,175
317,5;959283;0,289
317,6;959381;0,058
318,3;959479;0,409
317,9;959577;-0,234
318;959675;0,058
318;959774;0,000
318,4;959867;0,246
318,6;959960;0,123
318,9;960052;0,187
318;960145;-0,554
319,5;960238;0,924
320,5;960331;0,616
320;960424;-0,308
320;960517;0,000
320;960610;0,000
320,4;960703;0,246
320,5;960796;0,062
320;960889;-0,308
319,8;960982;-0,123
319,4;961075;-0,246
321,2;961164;1,159
321,2;961254;0,000
321;961343;-0,129
322,2;961433;0,764
323,2;961522;0,644
324,5;961611;0,837
325,4;961701;0,573
326,3;961790;0,579
327,7;961880;0,891
328,9;961966;0,799
327,9;962039;-0,785
328,5;962113;0,465
328,4;962213;-0,057
328,2;962313;-0,115
327,3;962412;-0,521
325,4;962512;-1,088
326;962612;0,344
326;962712;0,000
326,1;962812;0,057
326,6;962912;0,286
325,2;963011;-0,810
326,2;963111;0,573
326,3;963211;0,057
326;963311;-0,172
326,3;963411;0,172
327,3;963511;0,573
327,4;963611;0,057
326,8;963710;-0,347
326,2;963810;-0,344
326,3;963910;0,057
327,2;964010;0,516
327,7;964110;0,286
327,1;964210;-0,344
327,4;964308;0,175
329;964390;1,118
329;964471;0,000
329;964542;0,000
329;964603;0,000
329,9;964689;0,600
328,6;964775;-0,866
328;964871;-0,358
328,2;964923;0,220
328,7;964976;0,541
328,8;964984;0,716
328,8;964988;0,000
330;965086;0,702
330,9;965183;0,532
330,4;965283;-0,286
329,6;965383;-0,458
329,3;965483;-0,172
329,6;965582;0,174
329,1;965682;-0,286
330,2;965782;0,630
330,5;965881;0,174
330,3;965981;-0,115
331,1;966081;0,458
331,8;966180;0,405
331,6;966280;-0,115
332;966380;0,229
331,1;966480;-0,516
331;966579;-0,058
331,2;966679;0,115
333,1;966779;1,088
333,3;966878;0,116
334,5;966978;0,688
334,9;967078;0,229
334,8;967178;-0,057
335,3;967277;0,289
334,6;967377;-0,401
337,1;967477;1,432
337,7;967576;0,347
337,2;967676;-0,286
338,4;967776;0,688
338,2;967876;-0,115
338;967975;-0,116
337,1;968075;-0,516
336;968175;-0,630
335,3;968274;-0,405
336,7;968373;0,810
337;968473;0,172
336;968572;-0,579
337,1;968671;0,637
338,2;968770;0,637
337,8;968869;-0,231
336,9;968969;-0,516
336,6;969068;-0,174
336,5;969167;-0,058
336,2;969266;-0,174
336,5;969365;0,174
336,9;969464;0,231
336,6;969564;-0,172
336,2;969663;-0,231
336,7;969762;0,289
337;969861;0,174
336,9;969960;-0,058
336,4;970059;-0,289
336;970159;-0,229
336,4;970258;0,231
337,5;970357;0,637
337,8;970456;0,174
337,3;970555;-0,289
338,3;970654;0,579
338,4;970754;0,057
338,8;970853;0,231
339;970952;0,116
339;971051;0,000
339,7;971150;0,405
339,3;971249;-0,231
340,1;971349;0,458
339,9;971448;-0,116
341,1;971547;0,694
342,7;971646;0,926
343,9;971745;0,694
343,3;971843;-0,351
343;971941;-0,175
343,8;972039;0,468
344;972137;0,117
345,1;972234;0,650
346,9;972332;1,052
346;972430;-0,526
346,5;972528;0,292
347,8;972626;0,760
347,8;972724;0,000
349,3;972821;0,886
350,1;972919;0,468
350,6;973017;0,292
351,2;973115;0,351
353;973213;1,052
354,1;973299;0,733
354,7;973385;0,400
354,3;973471;-0,266
353,6;973557;-0,466
353,6;973643;0,000
353,1;973729;-0,333
352;973819;-0,700
351,9;973910;-0,063
350,9;974001;-0,630
350,7;974092;-0,126
350,1;974182;-0,382
349,1;974273;-0,630
349,6;974364;0,315
348,8;974455;-0,504
348,7;974545;-0,064
349;974643;0,175
348,1;974740;-0,532
348,2;974838;0,058
348,9;974935;0,413
349,9;975033;0,585
348,9;975131;-0,585
347,4;975228;-0,886
346,3;975326;-0,643
347,3;975423;0,591
348;975521;0,409
348;975615;0,000
346,3;975710;-1,025
346,1;975805;-0,121
345,7;975899;-0,244
346,1;975994;0,241
345;976089;-0,663
346,3;976183;0,792
347,5;976278;0,724
346;976373;-0,905
345;976467;-0,610
345,5;976562;0,302
345,6;976657;0,060
344,4;976751;-0,731
344,5;976846;0,060
345;976941;0,302
344,1;977035;-0,549
343,6;977133;-0,292
343,6;977231;0,000
345,1;977328;0,886
345,6;977393;0,441
345,1;977432;-0,735
344,6;977467;-0,818
344,1;977499;-0,895
344,1;977502;0,000
343,8;977556;-0,318
343,8;977600;0,000
343,8;977638;0,000
343,8;977674;0,000
343,1;977735;-0,657
342,6;977773;-0,754
342,1;977813;-0,716
342,1;977861;0,000
342,1;977887;0,000
342,2;977905;0,318
341,8;977946;-0,559
341,5;977991;-0,382
341,7;978044;0,216
341,9;978075;0,370
342;978112;0,155
341,6;978159;-0,488
341,1;978208;-0,585
340,7;978257;-0,468
340,4;978290;-0,521
340,5;978353;0,091
340;978399;-0,623
340,5;978436;0,774
340,9;978468;0,716
341;978486;0,318
340,8;978515;-0,395
340,4;978549;-0,674
340;978594;-0,509
339,9;978640;-0,125
340;978677;0,155
339,9;978732;-0,104
340,3;978785;0,432
340,6;978847;0,277
340,7;978908;0,094
341,4;979006;0,409
342,5;979105;0,637
342,5;979203;0,000
342,4;979268;-0,088
342,6;979300;0,358
343;979331;0,739
343,5;979386;0,521
343,9;979434;0,477
343,8;979500;-0,087
343,4;979567;-0,342
343,4;979659;0,000
345,6;979752;1,355
346,8;979844;0,747
347,9;979937;0,678
348,8;980017;0,645
348,5;980098;-0,212
347,6;980158;-0,859
347,9;980217;0,291
349,2;980266;1,520
350,8;980325;1,553
351,8;980374;1,169
352;980422;0,239
352;980467;0,000
352;980509;0,000
352,8;980559;0,917
353,7;980608;1,052
354,3;980656;0,716
354,9;980698;0,818
354,8;980736;-0,151
354,3;980771;-0,818
354,8;980860;0,322
354;980949;-0,515
354,7;981038;0,451
356;981127;0,837
356,3;981171;0,391
356,8;981215;0,651
357;981269;0,212
357;981313;0,000
357;981377;0,000
355,7;981440;-1,182
355,3;981483;-0,533
355,6;981525;0,409
356,1;981567;0,682
356,9;981608;1,118
357,3;981641;0,694
357,3;981682;0,000
357;981709;-0,637
356,6;981740;-0,739
355,7;981783;-1,199
355,8;981819;0,159
356,5;981857;1,055
357,3;981910;0,865
358,7;981952;1,909
359,8;982003;1,236
359,3;982050;-0,610
359;982093;-0,400
359,5;982131;0,754
360;982184;0,541
360,2;982223;0,294
360,5;982256;0,521
360,7;982291;0,327
360,8;982314;0,249
361;982342;0,409
361,2;982393;0,225
361,4;982437;0,260
361,6;982478;0,279
361,5;982529;-0,112
361,1;982568;-0,588
361,2;982621;0,108
361,8;982676;0,625
362,8;982724;1,193
363,2;982769;0,509
363,4;982819;0,229
363,6;982871;0,220
364,1;982929;0,494
364,8;982986;0,704
365,7;983033;1,097
366;983081;0,358
366,3;983163;0,210
367,2;983244;0,637
368,2;983326;0,699
368,5;983407;0,212
368,1;983489;-0,279
367,3;983534;-1,018
366,3;983597;-0,909
367,1;983641;1,042
368,3;983700;1,165
369,7;983767;1,197
371,4;983857;1,082
369,1;983947;-1,464
369,9;984038;0,504
370,9;984131;0,616
371,4;984225;0,305
371,9;984318;0,308
372,8;984412;0,549
374,4;984505;0,986
374,5;984599;0,061
374,2;984630;-0,554
373,9;984664;-0,506
373,4;984710;-0,623
373,4;984713;0,000
374,9;984777;1,343
376,8;984840;1,727
377,2;984862;1,042
380,7;984916;3,708
386,5;984970;6,130
392,6;985032;5,619
394;985052;4,004
395,7;985131;1,233
391,7;985206;-3,053
387,4;985280;-3,326
385,5;985324;-2,473
383,6;985397;-1,491
383,6;985470;0,000
383,9;985497;0,637
383,9;985587;0,000
381,9;985676;-1,287
381;985765;-0,579
381,3;985819;0,318
382,1;985874;0,833
383,3;985954;0,859
384,6;986034;0,931
387,4;986119;1,887
388,7;986204;0,876
388,2;986289;-0,337
387,6;986385;-0,358
385,6;986471;-1,332
383;986558;-1,712
383,1;986611;0,108
383,9;986664;0,865
383;986730;-0,781
381,3;986796;-1,475
380,1;986850;-1,273
378,6;986935;-1,011
377,8;987020;-0,539
377,8;987104;0,000
376,5;987188;-0,887
375,4;987269;-0,778
375,7;987351;0,210
373,1;987444;-1,601
371,8;987537;-0,801
371,8;987630;0,000
371,8;987719;0,000
370,7;987807;-0,716
370,3;987823;-1,432
368,7;987921;-0,935
369,3;987992;0,484
369,4;988064;0,080
368,9;988140;-0,377
367,8;988237;-0,650
368,7;988312;0,688
369,2;988380;0,421
369,2;988448;0,000
369,1;988485;-0,155
369,1;988495;0,000
369,1;988501;0,000
369;988527;-0,220
368,7;988551;-0,716
367,6;988627;-0,829
367,5;988703;-0,075
368;988779;0,377
368;988825;0,000
367;988925;-0,573
367,3;989024;0,174
366,8;989124;-0,286
366,9;989179;0,104
367;989213;0,169
367;989222;0,000
367,1;989289;0,086
367,2;989323;0,169
367,3;989333;0,573
367,6;989407;0,232
367,8;989481;0,155
367,9;989542;0,094
367,8;989558;-0,358
367,6;989581;-0,498
366,5;989651;-0,900
365,8;989721;-0,573
366,2;989791;0,327
366,2;989868;0,000
365,4;989944;-0,603
363,8;990021;-1,190
363,4;990095;-0,310
364;990169;0,465
363,1;990243;-0,697
362,3;990320;-0,595
362,4;990409;0,064
362,4;990435;0,000
362,5;990523;0,065
360,9;990612;-1,030
360,8;990622;-0,573
360,5;990654;-0,537
360,5;990656;0,000
360,5;990661;0,000
360,5;990667;0,000
360,4;990687;-0,286
360,4;990690;0,000
360,3;990700;-0,573
359,5;990776;-0,603
358,7;990851;-0,611
358,4;990865;-1,228
358,2;990933;-0,169
358,5;991001;0,253
358;991089;-0,326
357,8;991137;-0,239
357,1;991179;-0,955
357;991183;-1,432
356;991279;-0,597
357,6;991346;1,368
356,7;991429;-0,621
356,2;991461;-0,895
356;991520;-0,194
356,4;991580;0,382
356,1;991631;-0,337
356;991682;-0,112
355,9;991712;-0,191
355,8;991774;-0,092
355,1;991836;-0,647
354,8;991888;-0,331
354,5;991938;-0,344
354,8;992019;0,212
354;992100;-0,566
354,1;992181;0,071
354,7;992271;0,382
352,9;992361;-1,146
352,4;992451;-0,318
352,3;992541;-0,064
351,5;992631;-0,509
351,9;992700;0,332
352;992784;0,068
352,2;992868;0,136
350,7;992952;-1,023
350,1;993036;-0,409
350,6;993067;0,924
351,3;993146;0,508
350,8;993230;-0,341
350,5;993314;-0,205
351,3;993382;0,674
352;993450;0,590
352;993518;0,000
352;993523;0,000
350,9;993615;-0,685
351,1;993707;0,125
352;993799;0,560
352,2;993891;0,125
351,6;993952;-0,564
350,8;994014;-0,739
350,1;994094;-0,501
350,4;994175;0,212
349,9;994255;-0,358
349,2;994335;-0,501
349;994401;-0,174
348,4;994444;-0,799
348,1;994474;-0,573
348;994488;-0,409
348;994500;0,000
348;994548;0,000
348,3;994579;0,554
349;994640;0,657
349;994674;0,000
348,9;994693;-0,302
348,6;994740;-0,366
348;994785;-0,764
348;994842;0,000
348;994844;0,000
347,9;994888;-0,130
347,9;994935;0,000
348,1;995013;0,147
348,7;995081;0,506
348,1;995173;-0,374
347;995266;-0,678
347,5;995358;0,311
348,8;995449;0,818
348,6;995539;-0,127
348,5;995550;-0,521
348,9;995644;0,244
348,6;995739;-0,181
347,3;995833;-0,792
347,3;995927;0,000
346,4;996021;-0,549
345,8;996117;-0,358
346,4;996213;0,358
347,8;996309;0,836
347,7;996405;-0,060
348;996501;0,179
347,5;996597;-0,298
346,8;996693;-0,418
346;996789;-0,477
346,1;996885;0,060
347,5;996981;0,836
346,8;997077;-0,418
345,9;997173;-0,537
346;997269;0,060
344,9;997365;-0,656
344;997461;-0,537
344,4;997557;0,239
344,9;997653;0,298
345,6;997749;0,418
346;997845;0,239
345,9;997941;-0,060
345,2;998037;-0,418
345;998133;-0,119
344,9;998229;-0,060
345,7;998320;0,504
344,7;998411;-0,630
345,1;998502;0,252
345,6;998593;0,315
345,4;998685;-0,125
345,1;998776;-0,189
346;998867;0,567
346,8;998958;0,504
346,7;999011;-0,108
346,6;999044;-0,174
346,5;999070;-0,220
346,3;999097;-0,424
346,1;999123;-0,441
346,1;999156;0,000
346;999194;-0,151
345,6;999228;-0,674
345,3;999245;-1,011
345;999268;-0,747
345,1;999281;0,441
345,2;999299;0,318
345,4;999327;0,409
345,7;999397;0,246
345,4;999465;-0,253
345;999535;-0,327
344,7;999602;-0,257
344,7;999699;0,000
345,7;999770;0,807
346,2;999835;0,441
345,9;999894;-0,291
345,3;999982;-0,391
344,9;1000049;-0,342
344;1000116;-0,770
343,5;1000213;-0,295
343,1;1000311;-0,234
343;1000409;-0,058
342,8;1000506;-0,118
342,1;1000604;-0,409
340;1000702;-1,228
339,5;1000799;-0,295
340,5;1000897;0,585
341,8;1000965;1,095
339,9;1001033;-1,600
339,3;1001101;-0,506
337,1;1001192;-1,385
336,2;1001284;-0,560
337;1001342;0,790
336,5;1001379;-0,774
336,3;1001440;-0,188
336,9;1001536;0,358
336,2;1001619;-0,483
335,7;1001660;-0,699
335,1;1001715;-0,625
335,3;1001797;0,140
334,6;1001874;-0,521
333,6;1001951;-0,744
333,4;1002031;-0,143
333,3;1002111;-0,072
333,1;1002168;-0,201
332,5;1002225;-0,603
331,7;1002286;-0,751
331;1002348;-0,647
331;1002420;0,000
330;1002492;-0,796
330,7;1002564;0,557
330,6;1002634;-0,082
329,1;1002704;-1,228
329,3;1002764;0,191
330;1002824;0,668
329,9;1002911;-0,066
329,8;1002999;-0,065
329,4;1003079;-0,286
329;1003158;-0,290
329;1003244;0,000
329;1003329;0,000
329,3;1003415;0,200
329,4;1003501;0,067
329,4;1003586;0,000
328,6;1003672;-0,533
328;1003726;-0,637
327,9;1003766;-0,143
327,9;1003864;0,000
329,1;1003962;0,702
329,6;1004060;0,292
329;1004158;-0,351
329;1004256;0,000
329,1;1004354;0,058
329,4;1004452;0,175
329,7;1004551;0,174
329;1004649;-0,409
329,4;1004747;0,234
329,4;1004845;0,000
328,1;1004943;-0,760
